"filename", "language", "HTML", "CSS", "JSON", "JavaScript", "comment", "blank", "total"
"d:\vsworkspace\html-css-js\03第三天\css\博客.css", "CSS", 0, 135, 0, 0, 26, 77, 238
"d:\vsworkspace\html-css-js\03第三天\博客.html", "HTML", 205, 0, 0, 0, 1, 62, 268
"d:\vsworkspace\html-css-js\04第四天\01.html", "HTML", 30, 0, 0, 0, 0, 3, 33
"d:\vsworkspace\html-css-js\04第四天\css\mi.css", "CSS", 0, 65, 0, 0, 7, 8, 80
"d:\vsworkspace\html-css-js\04第四天\css\reset.css", "CSS", 0, 21, 0, 0, 2, 6, 29
"d:\vsworkspace\html-css-js\04第四天\css\太极.css", "CSS", 0, 64, 0, 0, 0, 11, 75
"d:\vsworkspace\html-css-js\04第四天\fonts\demo.css", "CSS", 0, 435, 0, 0, 19, 86, 540
"d:\vsworkspace\html-css-js\04第四天\fonts\demo_index.html", "HTML", 191, 0, 0, 0, 2, 19, 212
"d:\vsworkspace\html-css-js\04第四天\fonts\iconfont.css", "CSS", 0, 16, 0, 0, 0, 4, 20
"d:\vsworkspace\html-css-js\04第四天\fonts\iconfont.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1
"d:\vsworkspace\html-css-js\04第四天\fonts\iconfont.json", "JSON", 0, 0, 16, 0, 0, 1, 17
"d:\vsworkspace\html-css-js\04第四天\mi.html", "HTML", 49, 0, 0, 0, 3, 16, 68
"d:\vsworkspace\html-css-js\04第四天\太极.html", "HTML", 19, 0, 0, 0, 0, 1, 20
"d:\vsworkspace\html-css-js\05第五天\01.html", "HTML", 16, 0, 0, 0, 0, 2, 18
"d:\vsworkspace\html-css-js\05第五天\作业.html", "HTML", 50, 0, 0, 0, 10, 19, 79
"d:\vsworkspace\html-css-js\四级项目\01.html", "HTML", 57, 0, 0, 0, 0, 5, 62
"d:\vsworkspace\html-css-js\四级项目\02.html", "HTML", 126, 0, 0, 0, 0, 18, 144
"d:\vsworkspace\html-css-js\四级项目\03.html", "HTML", 77, 0, 0, 0, 0, 10, 87
"d:\vsworkspace\html-css-js\第一天\html\01-demo.html", "HTML", 48, 0, 0, 0, 7, 7, 62
"d:\vsworkspace\html-css-js\第一天\html\01-自定义列表.html", "HTML", 18, 0, 0, 0, 0, 6, 24
"d:\vsworkspace\html-css-js\第一天\html\03.css", "CSS", 0, 9, 0, 0, 0, 1, 10
"d:\vsworkspace\html-css-js\第一天\html\06-完整的表格.html", "HTML", 21, 0, 0, 0, 16, 4, 41
"d:\vsworkspace\html-css-js\第一天\html\10-表单标签.html", "HTML", 54, 0, 0, 0, 2, 10, 66
"d:\vsworkspace\html-css-js\第一天\html\11-input标签的type属性值.html", "HTML", 34, 0, 0, 0, 22, 7, 63
"d:\vsworkspace\html-css-js\第一天\html\12-表单其他属性值 .html", "HTML", 44, 0, 0, 0, 30, 10, 84
"d:\vsworkspace\html-css-js\第一天\html\简历01.html", "HTML", 52, 0, 0, 0, 5, 12, 69
"d:\vsworkspace\html-css-js\第一天\html\简历02.html", "HTML", 109, 0, 0, 0, 0, 20, 129
"d:\vsworkspace\html-css-js\第二天\css\02-通用选择器.css", "CSS", 0, 15, 0, 0, 1, 1, 17
"d:\vsworkspace\html-css-js\第二天\html\02-通用选择器.html", "HTML", 29, 0, 0, 0, 0, 0, 29
"d:\vsworkspace\html-css-js\第二天\html\03-字体样式.html", "HTML", 58, 0, 0, 0, 0, 9, 67
"d:\vsworkspace\html-css-js\第二天\html\04-文本样式.html", "HTML", 44, 0, 0, 0, 0, 2, 46
"d:\vsworkspace\html-css-js\第二天\html\10-盒子模型.html", "HTML", 26, 0, 0, 0, 1, 2, 29
"Total", "-", 1357, 760, 16, 1, 154, 439, 2727
