"filename", "language", "HTML", "JavaScript", "comment", "blank", "total"
"d:\vsworkspace\vue\02-插值表达式.html", "HTML", 41, 0, 3, 10, 54
"d:\vsworkspace\vue\03-v-html和v-text.html", "HTML", 31, 0, 6, 13, 50
"d:\vsworkspace\vue\04-v-show和v-if.html", "HTML", 36, 0, 15, 14, 65
"d:\vsworkspace\vue\05-v-if和v-else.html", "HTML", 10, 0, 0, 1, 11
"d:\vsworkspace\vue\06v-fo.html", "HTML", 10, 0, 0, 1, 11
"d:\vsworkspace\vue\06v-for指令.html", "HTML", 64, 0, 14, 31, 109
"d:\vsworkspace\vue\07-v-on指令.html", "HTML", 39, 0, 2, 14, 55
"d:\vsworkspace\vue\08-事件修饰符.html", "HTML", 55, 0, 23, 19, 97
"d:\vsworkspace\vue\09-按键修饰.html", "HTML", 39, 0, 2, 8, 49
"d:\vsworkspace\vue\vue\vue.js", "JavaScript", 0, 17572, 297, 124, 17993
"Total", "-", 325, 17572, 362, 235, 18494
